,averageresponsetime,incidentborough,incidentclassification,incidentcount,yearmonth
0,04:27,Citywide,All Fire/Emergency Incidents,40850,2009/07
1,04:32,Manhattan,All Fire/Emergency Incidents,10709,2009/07
2,04:37,Bronx,All Fire/Emergency Incidents,8137,2009/07
3,04:45,Staten Island,All Fire/Emergency Incidents,2205,2009/07
4,04:01,Brooklyn,All Fire/Emergency Incidents,11505,2009/07
5,04:43,Queens,All Fire/Emergency Incidents,8294,2009/07
6,04:07,Citywide,False Alarm,2655,2009/07
7,04:07,Manhattan,False Alarm,474,2009/07
8,04:26,Bronx,False Alarm,755,2009/07
9,03:49,Staten Island,False Alarm,192,2009/07
10,03:42,Brooklyn,False Alarm,565,2009/07
11,04:11,Queens,False Alarm,669,2009/07
12,04:12,Citywide,Medical Emergencies,18606,2009/07
13,04:17,Manhattan,Medical Emergencies,4895,2009/07
14,04:17,Bronx,Medical Emergencies,3429,2009/07
15,04:19,Staten Island,Medical Emergencies,933,2009/07
16,03:51,Brooklyn,Medical Emergencies,5344,2009/07
17,04:30,Queens,Medical Emergencies,4005,2009/07
18,04:13,Citywide,Medical False Alarm,408,2009/07
19,04:18,Manhattan,Medical False Alarm,110,2009/07
20,04:00,Bronx,Medical False Alarm,75,2009/07
21,04:10,Staten Island,Medical False Alarm,10,2009/07
22,03:50,Brooklyn,Medical False Alarm,111,2009/07
23,04:42,Queens,Medical False Alarm,102,2009/07
24,04:50,Citywide,NonMedical Emergencies,15739,2009/07
25,04:51,Manhattan,NonMedical Emergencies,4446,2009/07
26,05:04,Bronx,NonMedical Emergencies,3150,2009/07
27,05:24,Staten Island,NonMedical Emergencies,877,2009/07
28,04:20,Brooklyn,NonMedical Emergencies,4395,2009/07
29,05:11,Queens,NonMedical Emergencies,2871,2009/07
30,04:19,Citywide,NonStructural Fires,1495,2009/07
31,04:16,Manhattan,NonStructural Fires,349,2009/07
32,04:32,Bronx,NonStructural Fires,296,2009/07
33,04:38,Staten Island,NonStructural Fires,103,2009/07
34,03:59,Brooklyn,NonStructural Fires,438,2009/07
35,04:31,Queens,NonStructural Fires,309,2009/07
36,03:54,Citywide,Structural Fires,1947,2009/07
37,04:00,Manhattan,Structural Fires,435,2009/07
38,03:59,Bronx,Structural Fires,432,2009/07
39,04:34,Staten Island,Structural Fires,90,2009/07
40,03:29,Brooklyn,Structural Fires,652,2009/07
41,04:17,Queens,Structural Fires,338,2009/07
42,04:30,Citywide,All Fire/Emergency Incidents,41723,2009/08
43,04:38,Manhattan,All Fire/Emergency Incidents,10836,2009/08
44,04:47,Bronx,All Fire/Emergency Incidents,8749,2009/08
45,04:38,Staten Island,All Fire/Emergency Incidents,2009,2009/08
46,04:01,Brooklyn,All Fire/Emergency Incidents,11749,2009/08
47,04:44,Queens,All Fire/Emergency Incidents,8380,2009/08
48,04:06,Citywide,False Alarm,2814,2009/08
49,04:17,Manhattan,False Alarm,514,2009/08
50,04:21,Bronx,False Alarm,779,2009/08
51,04:04,Staten Island,False Alarm,198,2009/08
52,03:34,Brooklyn,False Alarm,632,2009/08
53,04:11,Queens,False Alarm,691,2009/08
54,04:13,Citywide,Medical Emergencies,18409,2009/08
55,04:16,Manhattan,Medical Emergencies,4854,2009/08
56,04:20,Bronx,Medical Emergencies,3438,2009/08
57,04:26,Staten Island,Medical Emergencies,838,2009/08
58,03:53,Brooklyn,Medical Emergencies,5437,2009/08
59,04:30,Queens,Medical Emergencies,3842,2009/08
60,04:19,Citywide,Medical False Alarm,425,2009/08
61,04:16,Manhattan,Medical False Alarm,132,2009/08
