,Incident DateTime,Automobile Fire,Hospital Fire,Other Commercial Building Fire,Private Dwelling Fire,School Fire,Store Fire
1,Jan-13,0.224719101,0.033707865,0.226123596,0.428370787,0.04494382,0.042134831
2,Feb-13,0.218426501,0.032091097,0.220496894,0.445134576,0.054865424,0.028985507
3,Mar-13,0.140694568,0.029385574,0.248441674,0.507569012,0.042742654,0.031166518
4,Apr-13,0.154751131,0.025339367,0.210859729,0.530316742,0.052488688,0.026244344
5,May-13,0.150994575,0.03164557,0.198915009,0.547016275,0.046112116,0.025316456
6,Jun-13,0.175925926,0.038065844,0.20473251,0.519547325,0.041152263,0.020576132
7,Jul-13,0.18086225,0.026288118,0.223974763,0.506834911,0.042060988,0.01997897
8,Aug-13,0.193312435,0.039707419,0.194357367,0.5276907,0.022988506,0.021943574
9,Sep-13,0.153846154,0.037974684,0.200584226,0.519961052,0.067185979,0.020447907
10,Oct-13,0.125796178,0.038216561,0.193471338,0.565286624,0.054936306,0.022292994
11,Nov-13,0.115229654,0.023368251,0.244157937,0.543916197,0.051571313,0.021756648
12,Dec-13,0.118317266,0.032427695,0.237510955,0.555652936,0.039439089,0.01665206
13,Jan-14,0.146126761,0.037852113,0.285211268,0.464788732,0.047535211,0.018485915
14,Feb-14,0.218426501,0.032091097,0.220496894,0.445134576,0.054865424,0.028985507
15,Mar-14,0.140694568,0.029385574,0.248441674,0.507569012,0.042742654,0.031166518
16,Apr-14,0.154751131,0.025339367,0.210859729,0.530316742,0.052488688,0.026244344
17,May-14,0.150994575,0.03164557,0.198915009,0.547016275,0.046112116,0.025316456
18,Jun-14,0.175925926,0.038065844,0.20473251,0.519547325,0.041152263,0.020576132
19,Jul-14,0.18086225,0.026288118,0.223974763,0.506834911,0.042060988,0.01997897
20,Aug-14,0.193312435,0.039707419,0.194357367,0.5276907,0.022988506,0.021943574
21,Sep-14,0.153846154,0.037974684,0.200584226,0.519961052,0.067185979,0.020447907
22,Oct-14,0.125796178,0.038216561,0.193471338,0.565286624,0.054936306,0.022292994
23,Nov-14,0.115229654,0.023368251,0.244157937,0.543916197,0.051571313,0.021756648
24,Dec-14,0.118317266,0.032427695,0.237510955,0.555652936,0.039439089,0.01665206
25,Jan-15,0.139814815,0.033333333,0.262962963,0.493518519,0.041666667,0.028703704
26,Feb-15,0.111111111,0.022222222,0.288888889,0.511111111,0.033333333,0.033333333
